date,category,amount
2022-08-21 08:46:12 +0000,Coffe,7.6
2022-08-21 11:29:50 +0000,Coffe,6.7
2022-08-21 12:39:07 +0000,Transport,1.3
2022-08-21 15:24:17 +0000,Coffe,13.0
2022-08-22 04:50:11 +0000,Market,6.0
2022-08-22 08:57:45 +0000,Restuarant,5.0
2022-08-23 09:00:30 +0000,Restuarant,5.0
2022-08-24 04:20:44 +0000,Transport,2.0
2022-08-24 04:21:54 +0000,Communal,150.0
2022-08-24 11:11:27 +0000,Restuarant,42.53
2022-08-24 14:57:43 +0000,Coffe,7.6
2022-08-24 18:42:57 +0000,Market,3.6
2022-08-25 13:28:33 +0000,Coffe,11.1
2022-08-25 15:14:26 +0000,Coffe,7.6
2022-08-25 17:13:04 +0000,Coffe,6.4
2022-08-25 19:57:49 +0000,Market,4.78
2022-08-26 11:24:54 +0000,Coffe,7.6
2022-08-26 14:22:44 +0000,Coffe,6.5
2022-08-26 14:46:51 +0000,Coffe,7.6
2022-08-26 19:22:57 +0000,Restuarant,9.5
2022-08-26 19:22:59 +0000,Transport,2.0
2022-08-27 06:39:10 +0000,Transport,4.0
2022-08-27 08:13:02 +0000,Coffe,9.0
2022-08-27 10:46:17 +0000,Market,0.87
2022-08-27 13:30:26 +0000,Coffe,7.6
2022-08-27 15:14:03 +0000,Coffe,6.7
2022-08-27 19:10:58 +0000,Restuarant,10.0
2022-08-27 19:59:10 +0000,Market,5.7
2022-08-28 09:48:55 +0000,Transport,2.0
2022-08-28 10:17:35 +0000,Coffe,7.6
2022-08-28 12:22:39 +0000,Coffe,7.6
2022-08-28 16:40:34 +0000,Coffe,15.2
2022-08-29 08:35:23 +0000,Restuarant,3.0
2022-08-29 10:05:37 +0000,Restuarant,14.0
2022-08-29 15:19:54 +0000,Restuarant,10.0
2022-08-29 15:59:24 +0000,Market,1.7
2022-08-30 04:53:30 +0000,Market,1.6
2022-08-30 11:06:48 +0000,Restuarant,17.6
2022-08-30 15:13:47 +0000,Market,13.71
2022-08-31 04:22:11 +0000,Market,16.35
2022-08-31 09:48:00 +0000,Restuarant,8.0
2022-08-31 14:23:57 +0000,Coffe,6.6
2022-08-31 16:34:21 +0000,Coffe,11.4
2022-08-31 17:52:48 +0000,Transport,5.0
2022-09-01 09:47:27 +0000,Restuarant,8.4
2022-09-01 18:50:16 +0000,Restuarant,30.0
2022-09-01 21:06:18 +0000,Transport,4.0
2022-09-01 21:06:22 +0000,Restuarant,12.5
2022-09-02 04:28:35 +0000,Transport,4.0
2022-09-02 10:11:30 +0000,Restuarant,5.0
2022-09-02 15:58:30 +0000,Coffe,7.6
2022-09-02 18:18:54 +0000,Restuarant,3.9
2022-09-03 08:03:07 +0000,Health,10.0
2022-09-03 13:26:32 +0000,Coffe,14.1
2022-09-03 14:23:34 +0000,Market,1.12
2022-09-03 15:52:37 +0000,Coffe,7.6
2022-09-03 19:16:55 +0000,Market,9.62
2022-09-04 06:50:53 +0000,Market,2.7
2022-09-04 06:50:56 +0000,Taxi,5.7
2022-09-04 09:11:50 +0000,Coffe,7.6
2022-09-04 09:12:07 +0000,Restuarant,24.0
2022-09-04 11:12:36 +0000,Market,6.83
2022-09-04 19:46:17 +0000,Communal,9.0
2022-09-04 19:46:20 +0000,Communal,150.0
2022-09-04 19:46:30 +0000,Market,12.5
2022-09-04 19:46:44 +0000,Communal,12.5
2022-09-05 05:05:17 +0000,Market,11.65
2022-09-05 09:37:25 +0000,Events,12.5
2022-09-05 10:46:06 +0000,Business lunch,4.5
2022-09-05 15:11:08 +0000,Market,7.19
2022-09-06 04:51:51 +0000,Market,6.5
2022-09-06 16:20:41 +0000,Events,200.0
2022-09-06 16:30:24 +0000,Restuarant,7.0
2022-09-06 16:30:26 +0000,Restuarant,1.0
2022-09-07 18:42:54 +0000,Restuarant,13.0
2022-09-07 18:43:01 +0000,Business lunch,4.5
2022-09-08 08:42:16 +0000,Business lunch,4.5
2022-09-08 15:43:50 +0000,Coffe,7.6
2022-09-09 10:31:31 +0000,Business lunch,9.0
2022-09-09 14:31:05 +0000,Coffe,7.6
2022-09-10 08:09:26 +0000,Restuarant,25.0
2022-09-10 09:28:20 +0000,Taxi,4.0
2022-09-10 10:53:52 +0000,Coffe,7.6
2022-09-10 11:57:45 +0000,Coffe,7.6
2022-09-10 13:19:32 +0000,Coffe,6.5
2022-09-10 17:17:30 +0000,Coffe,6.7
2022-09-10 18:39:45 +0000,Restuarant,18.0
2022-09-10 18:39:47 +0000,Coffe,6.5
2022-09-10 21:26:25 +0000,Taxi,4.0
2022-09-11 09:58:22 +0000,Restuarant,7.0
2022-09-11 09:58:25 +0000,Taxi,3.0
2022-09-11 12:12:42 +0000,Coffe,6.7
2022-09-11 12:56:01 +0000,Coffe,7.6
2022-09-11 14:57:39 +0000,Coffe,6.5
2022-09-11 18:34:57 +0000,Market,1.15
2022-09-12 14:40:09 +0000,Phone,5.0
2022-09-12 14:40:16 +0000,Business lunch,3.5
2022-09-12 15:23:18 +0000,Restuarant,1.0
2022-09-12 17:58:50 +0000,Coffe,7.6
2022-09-12 19:08:02 +0000,Market,2.6
2022-09-13 05:17:42 +0000,Market,7.34
2022-09-13 10:37:33 +0000,Business lunch,2.0
2022-09-13 19:22:57 +0000,Taxi,4.5
2022-09-13 19:23:03 +0000,Restuarant,9.5
2022-09-14 04:54:40 +0000,Market,6.65
2022-09-14 09:19:13 +0000,Business lunch,8.5
2022-09-15 10:29:47 +0000,Business lunch,8.4
2022-09-15 19:25:31 +0000,Coffe,14.2
2022-09-16 09:33:08 +0000,Market,0.9
2022-09-16 09:33:10 +0000,Business lunch,6.0
2022-09-16 12:24:22 +0000,Travel,50.0
2022-09-16 15:50:46 +0000,Coffe,7.6
2022-09-16 15:50:48 +0000,Restuarant,8.0
2022-09-16 15:50:52 +0000,Business lunch,0.6
2022-09-16 19:04:17 +0000,Market,5.6
2022-09-17 07:51:20 +0000,Coffe,6.5
2022-09-17 07:51:29 +0000,Restuarant,12.0
2022-09-17 07:51:32 +0000,Coffe,6.5
2022-09-17 10:37:54 +0000,Taxi,3.0
2022-09-17 11:49:14 +0000,Transport,5.0
2022-09-17 12:24:45 +0000,Coffe,7.6
2022-09-17 15:39:47 +0000,Coffe,6.5
2022-09-17 17:34:30 +0000,Market,2.6
2022-09-17 17:49:22 +0000,Taxi,3.0
2022-09-19 12:39:04 +0000,Business lunch,8.4
2022-09-19 15:38:26 +0000,Coffe,7.6
2022-09-19 19:34:10 +0000,Market,13.0
2022-09-20 09:09:44 +0000,Business lunch,8.4
2022-09-20 15:18:34 +0000,Coffe,7.6
2022-09-20 16:48:53 +0000,Coffe,6.5
2022-09-21 04:47:31 +0000,Coffe,1.8
2022-09-21 09:56:31 +0000,Business lunch,8.4
2022-09-21 15:48:35 +0000,Restuarant,9.0
2022-09-21 18:41:51 +0000,Market,1.7
2022-09-22 16:09:57 +0000,Coffe,7.6
2022-09-22 17:17:53 +0000,Phone,2.0
2022-09-22 19:38:45 +0000,Market,1.2
2022-09-23 16:32:21 +0000,Coffe,6.5
2022-09-23 16:32:24 +0000,Restuarant,25.0
2022-09-23 18:45:07 +0000,Coffe,6.7
2022-09-23 20:37:29 +0000,Market,4.7
2022-09-24 06:48:54 +0000,Taxi,4.0
2022-09-24 12:26:52 +0000,Coffe,25.0
2022-09-24 14:30:23 +0000,Transport,3.0
2022-09-24 15:51:02 +0000,Restuarant,16.0
2022-09-24 17:11:31 +0000,Taxi,1.4
2022-09-24 18:28:24 +0000,Taxi,2.5
2022-09-24 18:46:38 +0000,Market,4.0
2022-09-25 09:36:43 +0000,Coffe,7.6
2022-09-25 09:36:44 +0000,Phone,3.0
2022-09-25 11:04:20 +0000,Coffe,11.6
2022-09-25 16:26:47 +0000,Restuarant,15.0
2022-09-25 18:13:56 +0000,Market,3.0
2022-09-25 18:39:51 +0000,Restuarant,10.5
2022-09-26 04:05:41 +0000,Transport,1.0
2022-09-26 09:18:49 +0000,Business lunch,9.0
2022-09-26 09:42:03 +0000,Market,1.83
2022-09-26 15:02:08 +0000,Coffe,7.6
2022-09-26 19:38:55 +0000,Market,2.55
2022-09-27 04:24:19 +0000,Taxi,4.0
2022-09-27 16:18:55 +0000,Coffe,7.6
2022-09-27 20:00:34 +0000,Market,9.0
2022-09-28 09:59:45 +0000,Business lunch,8.3
2022-09-28 13:47:37 +0000,Phone,4.0
2022-09-28 17:47:46 +0000,Restuarant,19.0
2022-09-28 19:00:51 +0000,Taxi,4.0
2022-09-29 11:02:09 +0000,Business lunch,8.5
2022-09-29 16:06:48 +0000,Market,2.55
2022-09-30 04:42:46 +0000,Market,4.0
2022-09-30 09:28:52 +0000,Market,0.9
2022-09-30 09:28:55 +0000,Business lunch,12.0
2022-09-30 15:05:22 +0000,Coffe,14.0
2022-09-30 16:47:44 +0000,Coffe,6.7
2022-09-30 21:00:19 +0000,Taxi,4.0
2022-10-01 06:05:39 +0000,Coffe,5.7
2022-10-01 07:48:49 +0000,Restuarant,38.5
2022-10-01 08:04:41 +0000,Coffe,11.0
2022-10-01 10:57:56 +0000,Coffe,5.7
2022-10-01 13:54:34 +0000,Market,15.6
2022-10-01 14:24:15 +0000,Clothing,45.0
2022-10-01 14:50:35 +0000,Clothing,153.0
2022-10-01 15:02:52 +0000,Clothing,50.0
2022-10-01 15:41:18 +0000,Coffe,4.55
2022-10-02 05:35:56 +0000,Taxi,4.0
2022-10-02 10:54:54 +0000,Coffe,11.4
2022-10-02 11:30:54 +0000,Restuarant,14.0
2022-10-02 11:31:51 +0000,Film/enjoyment,7.0
2022-10-02 12:52:12 +0000,Restuarant,9.5
2022-10-02 16:07:28 +0000,Transport,3.0
2022-10-02 16:58:58 +0000,Market,2.0
2022-10-03 05:04:56 +0000,Market,1.0
2022-10-03 09:24:19 +0000,Business lunch,9.0
2022-10-03 15:28:36 +0000,Restuarant,10.0
2022-10-03 15:53:05 +0000,Market,3.3
2022-10-04 05:09:32 +0000,Market,4.1
2022-10-04 08:42:43 +0000,Business lunch,3.0
2022-10-04 13:35:12 +0000,Health,10.0
2022-10-04 17:27:15 +0000,Restuarant,10.0
2022-10-05 04:50:48 +0000,Market,1.9
2022-10-05 08:58:10 +0000,Business lunch,5.0
2022-10-05 15:02:36 +0000,Coffe,7.6
2022-10-05 19:38:34 +0000,Coffe,7.0
2022-10-06 06:46:30 +0000,Market,1.0
2022-10-06 11:56:56 +0000,Travel,60.2
2022-10-06 11:57:02 +0000,Coffe,5.7
2022-10-06 12:05:39 +0000,Coffe,5.7
2022-10-06 17:29:26 +0000,Restuarant,11.0
2022-10-06 17:40:04 +0000,Transport,0.9
2022-10-06 18:03:26 +0000,Market,3.0
2022-10-07 04:52:02 +0000,Market,2.2
2022-10-07 09:11:45 +0000,Business lunch,10.0
2022-10-07 10:32:38 +0000,Coffe,7.0
2022-10-07 17:46:25 +0000,Market,2.0
2022-10-08 05:10:24 +0000,Communal,45.0
2022-10-08 05:10:26 +0000,Market,5.0
2022-10-08 05:57:17 +0000,Phone,3.0
2022-10-08 07:39:53 +0000,Coffe,13.0
2022-10-08 09:20:38 +0000,Coffe,6.7
2022-10-08 11:46:28 +0000,Coffe,6.7
2022-10-08 15:44:06 +0000,Restuarant,30.0
2022-10-09 06:59:43 +0000,Transport,7.0
2022-10-09 07:28:13 +0000,Phone,10.0
2022-10-09 10:15:41 +0000,Coffe,19.0
2022-10-09 11:30:33 +0000,Coffe,6.7
2022-10-09 17:35:33 +0000,Restuarant,12.0
2022-10-09 17:35:36 +0000,Coffe,6.7
2022-10-09 20:33:58 +0000,Taxi,6.0
2022-10-09 20:55:18 +0000,Market,2.8
2022-10-10 05:22:11 +0000,Coffe,5.7
2022-10-10 08:17:31 +0000,Coffe,6.7
2022-10-10 11:27:54 +0000,Coffe,6.6
2022-10-10 11:27:56 +0000,Coffe,1.6
2022-10-10 17:39:46 +0000,Restuarant,16.0
2022-10-10 17:39:56 +0000,Coffe,16.0
2022-10-11 05:00:14 +0000,Market,1.0
2022-10-11 09:34:57 +0000,Business lunch,9.0
2022-10-11 10:22:25 +0000,Restuarant,7.0
2022-10-11 15:01:28 +0000,Coffe,6.7
2022-10-11 15:45:08 +0000,Learning,6.7
2022-10-11 15:50:45 +0000,Coffe,6.7
2022-10-11 17:12:47 +0000,Transport,1.0
2022-10-11 18:01:37 +0000,Market,1.2
2022-10-12 05:07:19 +0000,Market,1.0
2022-10-12 10:28:23 +0000,Restuarant,14.0
2022-10-12 10:28:25 +0000,Business lunch,5.0
2022-10-12 14:45:32 +0000,Coffe,5.7
2022-10-12 16:21:50 +0000,Coffe,5.7
2022-10-13 04:19:01 +0000,Events,20.0
2022-10-13 05:04:27 +0000,Market,3.7
2022-10-13 09:17:00 +0000,Business lunch,9.0
2022-10-13 09:17:21 +0000,Restuarant,14.0
2022-10-13 12:19:03 +0000,Market,0.6
2022-10-13 14:35:09 +0000,Coffe,7.0
2022-10-13 16:28:04 +0000,Coffe,5.7
2022-10-13 19:30:06 +0000,Market,5.49
2022-10-14 04:25:26 +0000,Market,1.5
2022-10-14 09:38:09 +0000,Business lunch,11.0
2022-10-14 14:39:30 +0000,Coffe,5.7
2022-10-14 16:36:10 +0000,Coffe,6.77
2022-10-15 10:29:23 +0000,Taxi,5.0
2022-10-15 10:29:37 +0000,Coffe,5.7
2022-10-15 10:51:31 +0000,Coffe,11.2
2022-10-15 11:36:06 +0000,Clothing,100.0
2022-10-15 14:03:54 +0000,Coffe,5.7
2022-10-15 15:21:28 +0000,Coffe,5.4
2022-10-15 19:11:40 +0000,Market,1.0
2022-10-15 19:11:50 +0000,Market,0.7
2022-10-16 09:46:17 +0000,Restuarant,11.0
2022-10-16 11:59:06 +0000,Restuarant,2.0
2022-10-16 14:09:32 +0000,Coffe,6.5
2022-10-16 14:50:01 +0000,Transport,2.0
2022-10-16 15:39:12 +0000,Market,9.0
2022-10-17 06:19:06 +0000,Communal,150.0
2022-10-17 10:04:30 +0000,Business lunch,10.0
2022-10-18 03:41:06 +0000,Market,1.8
2022-10-18 08:39:21 +0000,Business lunch,4.0
2022-10-18 09:28:52 +0000,Market,0.6
2022-10-18 18:17:46 +0000,Transport,2.0
2022-10-18 18:21:02 +0000,Restuarant,18.0
2022-10-19 06:40:18 +0000,Learning,21.0
2022-10-19 06:40:34 +0000,Coffe,11.4
2022-10-19 09:51:42 +0000,Restuarant,5.2
2022-10-19 10:27:13 +0000,Coffe,6.7
2022-10-19 12:50:03 +0000,Coffe,5.7
2022-10-19 17:50:07 +0000,Restuarant,12.0
2022-10-19 18:23:40 +0000,Sport,2.46
2022-10-20 07:45:42 +0000,Coffe,13.0
2022-10-20 07:49:10 +0000,Phone,1.0
2022-10-20 08:01:52 +0000,Coffe,5.7
2022-10-20 09:49:02 +0000,Coffe,6.0
2022-10-20 13:25:26 +0000,Coffe,7.0
2022-10-20 14:50:37 +0000,Coffe,6.0
2022-10-20 15:29:26 +0000,Coffe,1.6
2022-10-21 13:25:10 +0000,Coffe,11.5
2022-10-21 16:49:44 +0000,Coffe,13.2
2022-10-22 07:57:18 +0000,Learning,135.0
2022-10-22 11:35:57 +0000,Coffe,14.0
2022-10-22 15:42:41 +0000,Coffe,5.7
2022-10-22 16:40:20 +0000,Market,4.43
2022-10-23 11:18:11 +0000,Coffe,10.5
2022-10-23 11:53:04 +0000,Taxi,4.0
2022-10-23 12:51:04 +0000,Coffe,5.7
2022-10-23 13:06:50 +0000,Transport,5.0
2022-10-23 14:26:54 +0000,Coffe,11.7
2022-10-23 17:10:34 +0000,Market,6.0
2022-10-24 04:46:58 +0000,Market,1.0
2022-10-24 05:19:04 +0000,Learning,43.0
2022-10-24 09:45:33 +0000,Business lunch,7.0
2022-10-24 12:58:50 +0000,Coffe,0.6
2022-10-24 14:07:37 +0000,Coffe,7.7
2022-10-24 16:45:36 +0000,Coffe,5.7
2022-10-25 08:19:42 +0000,Business lunch,5.0
2022-10-25 08:20:03 +0000,Phone,5.0
2022-10-25 09:46:21 +0000,Coffe,6.0
2022-10-25 14:35:52 +0000,Coffe,12.0
2022-10-25 18:53:02 +0000,Restuarant,4.0
2022-10-26 04:55:08 +0000,Market,4.5
2022-10-26 19:01:41 +0000,Coffe,7.7
2022-10-26 19:08:52 +0000,Business lunch,11.52
2022-10-27 09:08:10 +0000,Business lunch,41.0
2022-10-27 09:24:48 +0000,Market,0.6
2022-10-28 03:31:25 +0000,Market,1.9
2022-10-28 09:39:43 +0000,Business lunch,10.0
2022-10-28 14:27:44 +0000,Coffe,10.4
2022-10-29 06:58:58 +0000,Coffe,13.0
2022-10-29 06:59:00 +0000,Restuarant,39.0
2022-10-29 09:40:51 +0000,Coffe,5.7
2022-10-29 12:30:17 +0000,Health,10.0
2022-10-29 12:30:22 +0000,Market,1.2
2022-10-29 12:36:28 +0000,Market,1.5
2022-10-30 05:08:03 +0000,Transport,5.0
2022-10-30 05:08:11 +0000,Coffe,6.7
2022-10-30 11:10:48 +0000,Transport,3.0
2022-10-30 11:46:35 +0000,Events,20.0
2022-10-30 11:47:24 +0000,Restuarant,23.0
2022-10-30 12:55:08 +0000,Coffe,5.7
2022-10-31 04:47:13 +0000,Market,1.0
2022-10-31 04:49:21 +0000,Market,20.0
2022-10-31 09:09:18 +0000,Business lunch,9.0
2022-10-31 11:17:48 +0000,Coffe,2.7
2022-10-31 18:06:28 +0000,Coffe,7.0
2022-10-31 18:06:31 +0000,Restuarant,6.0
2022-11-01 04:48:38 +0000,Market,1.9
2022-11-01 10:11:55 +0000,Business lunch,9.0
2022-11-01 15:38:00 +0000,Transport,4.0
2022-11-02 05:04:43 +0000,Market,1.5
2022-11-02 05:09:46 +0000,Phone,10.0
2022-11-02 07:15:31 +0000,Market,3.14
2022-11-02 09:11:09 +0000,Business lunch,5.5
2022-11-02 14:26:45 +0000,Coffe,8.0
2022-11-03 05:04:13 +0000,Market,1.92
2022-11-03 08:54:27 +0000,Business lunch,6.0
2022-11-03 14:35:37 +0000,Coffe,6.7
2022-11-04 06:41:26 +0000,Market,6.3
2022-11-04 08:52:46 +0000,Business lunch,6.0
2022-11-04 10:28:03 +0000,Coffe,6.58
2022-11-04 10:28:06 +0000,Market,0.6
2022-11-04 14:23:23 +0000,Coffe,7.0
2022-11-04 18:12:18 +0000,Restuarant,39.0
2022-11-05 05:12:30 +0000,Market,2.22
2022-11-05 09:46:01 +0000,Market,1.32
2022-11-05 09:46:05 +0000,Business lunch,10.0
2022-11-05 14:47:50 +0000,Coffe,5.7
2022-11-05 16:02:04 +0000,Coffe,5.7
2022-11-05 17:50:42 +0000,Market,7.2
2022-11-06 09:22:16 +0000,Transport,0.7
2022-11-06 11:34:16 +0000,Coffe,15.7
2022-11-06 13:53:38 +0000,Coffe,12.6
2022-11-06 17:08:45 +0000,Market,8.7
2022-11-07 06:12:35 +0000,Market,4.2
2022-11-07 06:58:50 +0000,Coffe,6.1
2022-11-07 12:36:17 +0000,Restuarant,9.45
2022-11-08 09:45:58 +0000,Coffe,10.3
2022-11-08 11:40:34 +0000,Coffe,6.5
2022-11-08 14:08:41 +0000,Coffe,6.1
2022-11-08 17:32:55 +0000,Market,23.77
2022-11-09 10:13:11 +0000,Coffe,6.1
2022-11-09 13:59:22 +0000,Coffe,6.1
2022-11-09 14:02:31 +0000,Transport,3.0
2022-11-09 16:49:25 +0000,Restuarant,5.4
2022-11-10 09:51:06 +0000,Coffe,6.1
2022-11-10 11:58:29 +0000,Restuarant,7.1
2022-11-10 12:04:12 +0000,Coffe,6.7
2022-11-10 14:01:47 +0000,Coffe,6.1
